"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1047","testBuscarUsuariosPorIdComSucesso()","","Thu Feb 20 17:38:41 GMT 2025","passed","Thu Feb 20 17:38:42 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuariosPorIdComSucesso"
"","508","testDeveCadastrarProdutoComSucesso()","","Thu Feb 20 17:38:39 GMT 2025","failed","Thu Feb 20 17:38:40 GMT 2025","","com.vemser.rest.tests.functional.produtos.CadastarProdutosTest","com.vemser.rest.tests.functional.produtos.CadastarProdutosTest","testDeveCadastrarProdutoComSucesso"
"","157","testTentarCadastrarUsuarioComCamposVazios()","","Thu Feb 20 17:38:44 GMT 2025","passed","Thu Feb 20 17:38:44 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComCamposVazios"
"","124","testDeveCadastrarUsuarioComDadosValidos()","","Thu Feb 20 17:38:44 GMT 2025","passed","Thu Feb 20 17:38:44 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComDadosValidos"
"","784","testSchemaListarTodosUsuariosComSucesso()","","Thu Feb 20 17:38:04 GMT 2025","passed","Thu Feb 20 17:38:05 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaListarTodosUsuariosComSucesso"
"","1889","testSchemaRealizarLoginComSucesso()","","Thu Feb 20 17:38:05 GMT 2025","passed","Thu Feb 20 17:38:07 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaRealizarLoginComSucesso"
"","997","testRealizarLoginComCamposVazios()","","Thu Feb 20 17:38:38 GMT 2025","passed","Thu Feb 20 17:38:39 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginComCamposVazios"
"","1914","testListarTodosUsuariosComSucesso()","","Thu Feb 20 17:37:39 GMT 2025","passed","Thu Feb 20 17:37:41 GMT 2025","","com.vemser.rest.tests.healthcheck.HealthCheckTest","com.vemser.rest.tests.healthcheck.HealthCheckTest","testListarTodosUsuariosComSucesso"
"","776","testDeveExcluirUsuarioComSucesso()","","Thu Feb 20 17:38:46 GMT 2025","passed","Thu Feb 20 17:38:47 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testDeveExcluirUsuarioComSucesso"
"","1175","testSchemaExcluirUsuarioComSucesso()","","Thu Feb 20 17:38:09 GMT 2025","passed","Thu Feb 20 17:38:10 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaExcluirUsuarioComSucesso"
"","115","testExcluirUsuarioInvalido()","","Thu Feb 20 17:38:46 GMT 2025","passed","Thu Feb 20 17:38:46 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioInvalido"
"","128","testBuscarUsuarioPorIdInvalido()","","Thu Feb 20 17:38:41 GMT 2025","passed","Thu Feb 20 17:38:41 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuarioPorIdInvalido"
"","803","testDeveAtualizarUsuarioComSucesso()","","Thu Feb 20 17:38:44 GMT 2025","passed","Thu Feb 20 17:38:45 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testDeveAtualizarUsuarioComSucesso"
"","126","testAtualizarUsuarioInexistenteECriacaoDeNovoUsuario()","","Thu Feb 20 17:38:46 GMT 2025","passed","Thu Feb 20 17:38:46 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteECriacaoDeNovoUsuario"
"","2795","testSchemaDeveCadastrarProdutoComSucesso()","","Thu Feb 20 17:38:02 GMT 2025","passed","Thu Feb 20 17:38:04 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaDeveCadastrarProdutoComSucesso"
"","145","testListarUsuariosPorEmailInvalido()","","Thu Feb 20 17:38:41 GMT 2025","passed","Thu Feb 20 17:38:41 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorEmailInvalido"
"","1159","testSchemaBuscarUsuariosPorId()","","Thu Feb 20 17:38:40 GMT 2025","passed","Thu Feb 20 17:38:41 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testSchemaBuscarUsuariosPorId"
"","135","testSchemaDeveCadastrarUsuarioComDadosValidos()","","Thu Feb 20 17:38:05 GMT 2025","passed","Thu Feb 20 17:38:05 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaDeveCadastrarUsuarioComDadosValidos"
"","931","testListarTodosUsuariosComSucesso()","","Thu Feb 20 17:38:42 GMT 2025","passed","Thu Feb 20 17:38:43 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarTodosUsuariosComSucesso"
"","728","testTentarCadastrarUsuarioComEmailJaCadastrado()","","Thu Feb 20 17:38:43 GMT 2025","passed","Thu Feb 20 17:38:44 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComEmailJaCadastrado"
"","4540","testRealizarLoginInvalido()","","Thu Feb 20 17:38:32 GMT 2025","passed","Thu Feb 20 17:38:36 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginInvalido"
"","122","testExcluirUsuarioComCarrinhoCadastrado()","","Thu Feb 20 17:38:46 GMT 2025","passed","Thu Feb 20 17:38:46 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioComCarrinhoCadastrado"
"","156","testListarUsuariosPorNomeInvalido()","","Thu Feb 20 17:38:42 GMT 2025","passed","Thu Feb 20 17:38:42 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorNomeInvalido"
"","1026","testAtualizarUsuarioInexistenteEComEmailJaCadastrado()","","Thu Feb 20 17:38:45 GMT 2025","passed","Thu Feb 20 17:38:46 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteEComEmailJaCadastrado"
"","1542","testDeveRealizarLoginComSucesso()","","Thu Feb 20 17:38:37 GMT 2025","passed","Thu Feb 20 17:38:38 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testDeveRealizarLoginComSucesso"
"","1379","testSchemaAtualizarUsuarioComSucesso()","","Thu Feb 20 17:38:07 GMT 2025","passed","Thu Feb 20 17:38:09 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaAtualizarUsuarioComSucesso"
